title,cast
Avatar,Sam Worthington
Avatar,Zoe Saldana
Avatar,Sigourney Weaver
Avatar,Stephen Lang
Avatar,Michelle Rodriguez
Pirates of the Caribbean: At World's End,Johnny Depp
Pirates of the Caribbean: At World's End,Orlando Bloom
Pirates of the Caribbean: At World's End,Keira Knightley
Pirates of the Caribbean: At World's End,Stellan Skarsgård
Pirates of the Caribbean: At World's End,Chow Yun-fat
Spectre,Daniel Craig
Spectre,Christoph Waltz
Spectre,Léa Seydoux
Spectre,Ralph Fiennes
Spectre,Monica Bellucci
The Dark Knight Rises,Christian Bale
The Dark Knight Rises,Michael Caine
The Dark Knight Rises,Gary Oldman
The Dark Knight Rises,Anne Hathaway
The Dark Knight Rises,Tom Hardy
John Carter,Taylor Kitsch
John Carter,Lynn Collins
John Carter,Samantha Morton
John Carter,Willem Dafoe
John Carter,Thomas Haden Church
